is_canceled,lead_time,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,meal_FB,meal_HB,meal_SC,meal_Undefined,market_segment_Complementary,market_segment_Corporate,market_segment_Direct,market_segment_Groups,market_segment_Offline TA/TO,market_segment_Online TA,distribution_channel_Direct,distribution_channel_GDS,distribution_channel_TA/TO,deposit_type_Non Refund,deposit_type_Refundable,customer_type_Group,customer_type_Transient,customer_type_Transient-Party
1,74,38,18,0,2,2,0.0,0,0,0,0,0,0,101.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
1,44,8,17,0,3,2,0.0,0,0,0,0,0,3,75.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
0,21,49,1,1,3,2,0.0,0,0,0,0,1,0,60.0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,33,8,15,1,4,2,0.0,0,0,0,0,0,0,80.82,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,78,10,1,2,8,2,0.0,0,0,0,0,0,0,83.85,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,278,30,22,0,2,2,0.0,0,0,1,0,0,0,62.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
0,35,11,8,0,3,2,0.0,0,0,0,0,0,0,87.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,16,29,14,2,5,2,2.0,0,0,0,0,0,0,212.14,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,81,23,4,2,3,2,0.0,0,0,0,0,0,0,144.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,136,19,2,2,5,2,0.0,0,0,0,0,0,0,52.2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
0,3,24,15,1,3,2,0.0,0,0,0,0,1,0,177.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,91,45,6,2,2,2,0.0,0,0,0,0,0,0,24.8,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,2,2,4,1,4,2,0.0,0,0,0,0,1,0,56.4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,79,51,11,2,2,2,0.0,0,0,0,0,0,0,52.4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,105,15,6,0,1,2,0.0,0,0,0,0,0,0,75.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
1,29,17,29,1,1,2,0.0,0,0,0,0,0,0,115.0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,1,25,15,0,1,1,0.0,0,0,0,17,0,0,65.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,67,7,12,2,0,2,0.0,0,0,0,0,0,0,80.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
0,92,52,26,2,3,2,0.0,0,0,0,0,0,0,60.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,92,45,2,1,4,2,0.0,0,0,0,0,0,0,90.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,288,36,2,1,4,2,0.0,0,0,0,0,2,0,141.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0,11,34,19,0,4,2,0.0,0,0,0,0,0,0,196.75,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,11,12,19,2,1,2,0.0,0,0,0,0,0,0,119.67,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,228,41,5,2,4,2,0.0,0,0,0,0,0,0,115.6,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
